Distance	Power
29.48899	10
39.26959	10
33.95814	11
39.78479	13
45.86495	13
58.21745	14
57.08483	15
56.88857	15
57.08483	15
58.37283	16
61.95878	16
65.07859	16
66.24801	16
70.66809	17
72.11964	17
74.02506	18
76.49065	18
81.3646	18
83.44584	18
63.68428	18
88.52831	18
88.36476	19
93.36545	20
93.87656	23
44.60967	23
4.346478	9
4.346478	9
14.03712	9
15.97116	9
137.513077	25
129.29852	25
128.840566	25
145.764434	25
